@RELATION packetclassification

@ATTRIBUTE dst_port REAL
@ATTRIBUTE inter_arrival REAL
@ATTRIBUTE packet_length REAL
@ATTRIBUTE src_port REAL
@ATTRIBUTE src_ip REAL
@ATTRIBUTE dst_ip REAL
@ATTRIBUTE class {1,2,3,4}

@DATA
4500,9,30,60367,167772161,167772164,1
4500,9,30,60367,167772161,167772164,1
4500,9,30,60367,167772161,167772164,1
4500,9,30,60367,167772161,167772164,1
4500,9,30,60367,167772161,167772164,1
4500,9,30,60367,167772161,167772164,1
4500,9,30,60367,167772161,167772164,1
4500,9,30,60367,167772161,167772164,1
4500,9,30,60367,167772161,167772164,1
4500,9,30,60367,167772161,167772164,1
4500,9,30,34567,167772161,167772164,1
4500,9,30,34567,167772161,167772164,1
4500,9,30,34567,167772161,167772164,1
4500,9,30,34567,167772161,167772164,1
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
5500,9,30,50894,167772161,167772164,2
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,34567,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,34567,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,34567,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,34567,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
6500,9,30,43839,167772161,167772164,3
7500,9,30,35874,167772161,167772164,4
7500,9,30,34567,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,34567,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
7500,9,30,35874,167772161,167772164,4
